en_tok,de_tok
tom is too lenient with his students .,tom ist zu nachgiebig mit seinen schülern .
tom put on somebody else ' s coat .,tom zog einen fremden mantel an .
i ' ll get you some wine .,ich hole dir etwas wein .
tom said that he wished he were a fish .,"tom sagte , er wäre gerne ein fisch ."
i guess you have your reasons for being angry .,"du hast sicher gute gründe , ärgerlich zu sein ."
i ' m so afraid .,ich habe solche angst .
i ' ll do that later .,ich mache das später .
you shouldn ' t have done it .,du hättest es nicht tun sollen .
do you have one ?,haben sie einen ?
did you hear what we were saying ?,"habt ihr gehört , was wir gesagt haben ?"
we weren ' t able to get our cars started .,unsere autos sprangen nicht an .
"if you ' re not busy , could you please help me ?","könntest du mir helfen , falls du nicht beschäftigt bist ?"
be kind to your parents .,sei nett zu deinen eltern !
thunderstorms are both scary and exciting .,gewitter sind gleichermaßen erschreckend wie aufregend .
are you enjoying this ?,macht dir das freude ?
you ' re the first girl i ever kissed .,"du bist das erste mädchen , dass ich je geküsst habe ."
you ' re doing pretty well .,du machst das ziemlich gut .
i ' m so glad you called .,"ich bin so froh , dass du angerufen hast ."
what am i going to do with this ?,was mache ich mit dem ?
don ' t make that a habit .,laßt euch das nicht zur gewohnheit werden !
it ' s all nonsense .,es ist alles quatsch .
tom could hardly hear what mary was saying .,"tom konnte kaum hören , was mary sagte ."
we need to remember those who helped us .,"wir müssen derer gedenken , die uns geholfen haben ."
which browser are you using ?,welchen netznavigator verwendest du ?
everyone should have one .,jeder sollte einen haben .
you must ' ve confused me with someone else .,du mußt mich verwechselt haben .
he is not interested in art at all .,kunst interessiert ihn gar nicht .
can you decipher the message ?,kannst du die nachricht dechiffrieren ?
just go away .,geh einfach weg .
you must think it strange that i want to go away .,"sie müssen es seltsam finden , daß ich wegwill ."
do you know where my glasses are ?,"weißt du , wo meine brille ist ?"
i wanted to impress you .,ich wollte dich beeindrucken .
"this morning , tom came to ask for my daughter ' s hand in marriage .",heute morgen kam tom und hielt um die hand meiner tochter an .
they are having breakfast now .,sie frühstücken gerade .
you can ' t pretend that it didn ' t happen .,"sie können nicht so tun , als wäre es nicht geschehen ."
she took him to the lake .,sie hat ihn an den see mitgenommen .
"if anyone can do it , tom can .","wenn es jemand kann , dann tom ."
tom is a very good - looking guy .,tom ist ein sehr gut aussehender typ .
i will take you for a swim .,ich nehme dich zum schwimmen mit .
can i keep one of your pictures ?,kann ich eins deiner bilder behalten ?
tom usually walks to school .,normalerweise geht tom zu fuß zur schule .
tell your friends .,gebt euren freunden bescheid .
who ' s the boss of this company ?,wer ist der chef dieser firma ?
driving can be fun .,fahren kann spass machen .
tom looks as if he ' s seen a ghost .,"tom sieht aus , als hätte er ein gespenst gesehen ."
i ' ve told tom all about you .,ich habe tom alles über sie erzählt .
we found it here .,wir haben es hier gefunden .
forty people attended .,vierzig leute kamen .
don ' t you miss your father ?,vermisst ihr euren vater nicht ?
who is their homeroom teacher ?,wer ist ihre klassenlehrerin ?
in esperanto there are only grammar rules .,in esperanto gibt es nur grammatikalische regeln .
the trains are running on time .,die züge fahren fahrplanmäßig .
i asked tom to play the guitar .,"ich forderte tom auf , gitarre zu spielen ."
tom switched the lights on .,tom schaltete das licht an .
i was tired but not sleepy .,"ich war müde , aber nicht schläfrig ."
it was a special day for me .,es war für mich ein besonderer tag .
tom is brilliant .,tom ist genial .
she turned down his proposal .,sie hat seinen vorschlag abgelehnt .
"if you want to leave early , it ' s ok .","wenn ihr eher wegwollt , ist das in ordnung ."
you can go home if you like .,"wenn du willst , kannst du nach hause gehen ."
i think that my french is really bad .,"mein französisch ist , glaube ich , grottenschlecht ."
"i ' m sorry , i ' m not allowed to give you that information .",das darf ich euch leider nicht mitteilen .
tom needed attention .,tom brauchte aufmerksamkeit .
we spent three hours there .,wir verbrachten dort drei stunden .
all men are mortal .,alle menschen sind sterblich .
"whenever someone knocks on the door , my dog starts barking .","immer , wenn jemand an die tür klopft , fängt mein hund an zu bellen ."
i ' m glad tom isn ' t here .,"ich bin froh , dass tom nicht hier ist ."
he had a bad day .,er hatte einen schlechten tag .
i just followed your instructions .,ich habe mich nur an eure anweisungen gehalten .
i ' ve had a headache since yesterday .,ich habe schon seit gestern kopfschmerzen .
i ' m going to get the truth out of you .,aus ihnen kriege ich die wahrheit noch heraus !
peel two of the bananas .,schälen sie zwei der bananen .
tom isn ' t much of a pianist .,an tom ist nicht viel von einem pianisten verlorengegangen .
tom is in recovery .,tom ist auf dem wege der besserung .
is less than .,ist weniger als .
the young girl was in the next room playing with a doll .,das kleine mädchen spielte nebenan mit einer puppe .
breathe deeply .,atmen sie tief ein !
i can ' t deal with that problem right now .,ich kann mich mit diesem problem im augenblick nicht befassen .
i think that australia is nicer than new zealand .,ich finde australien schöner als neuseeland .
i won ' t come tomorrow .,ich werde morgen nicht kommen .
you must be tempted to do that .,"ihr müßt versucht sein , das zu tun ."
i think we can handle this .,"ich finde , wir kommen damit zurecht ."
did you touch that ?,hast du das angefaßt ?
tom wondered what mary was going to do .,"tom fragte sich , was maria wohl tun würde ."
i ' m not convinced yet .,ich bin noch nicht überzeugt .
"which one do you prefer , this one or that one ?","welches möchtest du lieber , dieses oder jenes ?"
tom looks tired .,tom sieht müde aus .
she happened to know his address .,sie kannte zufällig seine adresse .
you seem to be afraid to tell tom the truth .,"sie scheinen angst zu haben , tom die wahrheit zu sagen ."
tell me about your first kiss .,erzähle mir von deinem ersten kuss .
tom ate .,tom aß .
i know that i don ' t have to do that again .,"ich weiß , daß ich das nicht noch einmal muß ."
"you ' re no saint , either .",sie sind auch keine heilige .
tom has lots of time .,tom hat viel zeit .
tom seems very busy .,"es scheint , dass tom sehr beschäftigt ist ."
tom believes that the universe really has eleven dimensions .,"tom glaubt , dass das universum wirklich elfdimensional ist ."
"you kept nodding off during that lecture , didn ' t you ?","du bist während der vorlesung laufend eingenickt , nicht wahr ?"
"tom started to say something , but changed his mind .","tom schickte sich an , als wollte er etwas sagen , überlegte es sich aber anders ."
i was in turmoil .,ich war ganz aufgewühlt .
what are you selling ?,was verkaufst du ?
when did you say that happened ?,"was sagten sie , wann das passiert sei ?"
i ' ll find someone else to help us .,"ich werde jemand anderen finden , der uns helfen kann ."
the teacher was screaming at me .,der lehrer schrie mich an .
i ' m afraid someone will see us .,"ich habe angst , dass uns jemand sieht ."
the yogurt is delicious .,das yoghurt ist köstlich .
tom is an ent specialist .,tom ist hals - nasen - ohren - arzt .
tom isn ' t going to do that today .,tom wird das heute nicht tun .
that ' ll be easy to fix .,das wird leicht zu beheben sein .
tom said he felt like eating steak .,tom hat appetit auf steak .
several workers opposed the manager ' s suggestion .,einige arbeiter lehnten den vorschlag des geschäftsführers ab .
tom works for a startup .,tom arbeitet für ein startup .
why on earth did you give him such a name ?,warum in aller welt habt ihr ihm solch einen namen gegeben ?
who helped you ?,wer hat ihnen geholfen ?
i know someone who can help you .,"ich kenne jemanden , der euch helfen kann ."
i ' m not satisfied with the result at all .,ich bin mit dem ergebnis überhaupt nicht zufrieden .
i ' m a year younger than tom .,ich bin ein jahr jünger als tom .
take off your shoes .,zieh dir die schuhe aus !
who ' s been smoking here ?,wer hat hier geraucht ?
"i don ' t come here every day , but i do come quite often .","ich komme zwar nicht jeden tag hierher , aber doch recht häufig ."
tom sends more than a hundred text messages a day .,tom verschickt am tag über hundert textnachrichten .
tom said he thought that he could help us today .,"tom meinte , er könne uns heute helfen ."
"the first time i drank beer , i didn ' t like it .","als ich zum erstenmal bier trank , schmeckte es mir nicht ."
i ' d advise you to let tom go .,"ich riete euch , tom gehen zu lassen ."
can you think of any ways this problem could be solved ?,"fällt ihnen irgendwas ein , wie dieses problem gelöst werden könnte ?"
i thought that you said that you didn ' t speak french .,"sie haben doch gesagt , sie sprechen kein französisch !"
tom noticed the front door was open .,"tom bemerkte , dass die eingangstüre offenstand ."
we ' ve been much busier than we expected to be .,wir hatten es viel eiliger als erwartet .
i didn ' t tell tom what he needed to buy .,"ich habe tom nicht gesagt , was er kaufen mußte ."
tom and mary know each other fairly well .,tom und maria kennen sich recht gut .
it was colder yesterday .,gestern war es kälter .
he would not take the money .,er würde das geld nicht annehmen .
i often hear her play the piano .,ich höre sie oft klavier spielen .
doesn ' t that go without saying ?,ist das nicht selbstverständlich ?
don ' t cheat him .,betrüge ihn nicht .
tom said that he thought he ' d be able to do that today .,"tom meinte , er könne das heute tun ."
i hope your husband is good to you .,"ich hoffe , ihr mann ist gut zu ihnen ."
i ' d rather not to lie to tom about that .,ich möchte tom diesbezüglich lieber nicht anlügen .
i ' ve lived here most of my life .,ich habe die meiste zeit meines lebens hier gewohnt .
i was so bored .,ich habe mich so gelangweilt .
how did you find me ?,wie war ich ?
i ' m going to start .,ich fange an .
i don ' t care what people say .,ich kümmere mich nicht um das gerede der leute .
i hope you have a lot of time .,"ich hoffe , du hast viel zeit ."
"if we ' d known earlier that you needed help , we would ' ve come earlier .","hätten wir es gewusst , wären wir dir eher zu hilfe gekommen ."
do you mind if i sleep here tonight ?,"hättest du etwas dagegen , wenn ich heute hier schliefe ?"
i work for a travel agency .,ich arbeite in einem reisebüro .
i didn ' t take part in the conversation .,ich habe mich an der unterhaltung nicht beteiligt .
your examination results are excellent .,deine prüfungsergebnisse sind großartig .
do you remember how slow the internet used to be ?,"erinnerst du dich , wie langsam das internet war ?"
tom was devastated .,tom war am boden zerstört .
tom used to be a pretty good dancer .,tom war einmal ein recht guter tänzer .
i don ' t want to hear your excuses .,ich möchte deine entschuldigungen nicht hören .
i want to know now .,ich möchte es jetzt wissen .
